Season,Player,ID,Team
1897,Harry James,4355,Fitzroy
1897,Ned Moran,4400,Geelong
1897,Billy Arnott,4418,Carlton
1897,Herb Johnson,4466,Collingwood
1897,Matt Conniff,4246,St Kilda
1897,Arch Middleton,4264,St Kilda
1897,Gillie Wilson,4279,St Kilda
1897,Fred Ball,4309,Essendon
1897,Harold Brown,4311,Essendon
1897,Jim Park,4334,Essendon
1897,Kelly Robinson,4375,Fitzroy
1897,Stan Enfield,4387,Geelong
1897,Jack Sharkey,4411,Geelong
1897,Fred Nomens,4370,Fitzroy
1897,Bert Rapiport,4373,Fitzroy
1897,Jack Jennings,4257,St Kilda
1897,John Molesworth,4265,St Kilda
1897,Harry Gyles,4431,Carlton
1897,Harry Howard,4434,Carlton
1897,Alby Patterson,4443,Carlton
1897,Alb Thomas,4303,Sydney
1897,Eddie Toms,4304,Sydney
1897,Jim McCoy,4218,Melbourne
1897,Jerry McGrath,4261,St Kilda
1897,Arthur Kirk,4213,Melbourne
1897,Dick Hall,4464,Collingwood
1897,Jim White,4342,Essendon
1897,Arthur Pincott,4405,Geelong
1897,George Blake,4243,St Kilda
1897,Bill Patterson,4444,Carlton
1897,Jimmy Palmer,4402,Geelong
1897,Tom Crawford,4202,Melbourne
1897,Jack Godby,4205,Melbourne
1897,Alex Murdoch,4225,Melbourne
1897,Henry Yager,4380,Fitzroy
1897,George Morrison,4266,St Kilda
1897,Colin Campbell,4312,Essendon
1897,George Cochrane,4314,Essendon
1897,Dave Ferguson,4319,Essendon
1897,Harry Hughes,4210,Melbourne
1897,Bill Stranger,4480,Collingwood
1897,Ted Greeves,4389,Geelong
1897,Gerald Sheahan,4229,Melbourne
1898,Jimmy Aitken,4416,Carlton
1898,Fred Barlow,4595,Carlton
1898,Chic Breese,4420,Carlton
1898,Charlie Brown,4596,Carlton
1898,Bill Casey,4424,Carlton
1898,Sam Chapman,4425,Carlton
1898,Jim Lyons,4437,Carlton
1898,Oscar Manchester,4438,Carlton
1898,Len Morrison,4607,Carlton
1898,Wally OCock,4441,Carlton
1898,Tommy ODay,4608,Carlton
1898,Jim Pender,4610,Carlton
1898,Jack Reekie,4445,Carlton
1898,Jack Roberts,4447,Carlton
1898,Bill Sharkey,4612,Carlton
1898,Tom Sweetman,4448,Carlton
1898,Bobby Walsh,4449,Carlton
1898,Ernie Walton,4450,Carlton
1898,George Warde,4615,Carlton
1898,Peter Williams,4452,Carlton
1898,Eddie Brown,4539,Sydney
1898,Allen Burns,4283,Sydney
1898,Charlie Colgan,4541,Sydney
1898,George Cornelius,4542,Sydney
1898,George Davidson,4284,Sydney
1898,Johnny Davis,4543,Sydney
1898,Jack Fleming,4287,Sydney
1898,Bill Fraser,4288,Sydney
1898,Dick Gibson,4289,Sydney
1898,Tom Gilligan,4290,Sydney
1898,Bert Howson,4291,Sydney
1898,Henri Jeanneret,4545,Sydney
1898,Billy Kenny,4547,Sydney
1898,Michael OGorman,4295,Sydney
1898,Mick Pleass,4298,Sydney
1898,Jack Southern,4301,Sydney
1898,George Sparrow,4557,Sydney
1898,Albert Trim,4560,Sydney
1898,George Williamson,4306,Sydney
1898,Bill Windley,4307,Sydney
