,Player,ID,Team,Opponent,Round,Kicks,Marks,Hand.Balls,Disp,Goals,Behinds,Hit.Outs,Tackles,Rebounds,Inside.50,Clearances,Clangers,Frees.For,Frees.Against,Brownlow,Uncontested.Possessions,Contested.Possessions,Contested.Marks,Marks.Inside.50,One.Percenters,Bounces,Goal.Assists,X..Time.Played
8193,Neville Jetta,11723,ME,BL,22,10,7,3,13,0,0,0,2,2,1,0,1,0,0,0,4,8,1,0,2,0,0,83
8194,Nathan Jones,2447,ME,BL,22,13,2,19,32,0,0,0,7,1,5,8,4,0,2,0,13,17,0,0,1,0,2,85
8195,Jordan Lewis,4077,ME,BL,22,12,9,13,25,0,0,0,3,0,5,3,1,0,1,0,5,20,0,0,2,0,0,85
8196,Oscar McDonald,12394,ME,BL,22,7,4,2,9,0,0,0,0,4,0,0,1,1,0,0,1,9,0,0,8,0,0,96
8197,Tom McDonald,12009,ME,BL,22,4,1,1,5,0,0,0,4,1,0,0,1,0,1,0,3,2,0,0,5,0,0,96
8198,Jake Melksham,11820,ME,BL,22,20,7,9,29,1,1,0,4,2,4,3,2,2,0,0,5,23,0,1,1,1,2,85
8199,Alex Neal-Bullen,12367,ME,BL,22,7,0,10,17,0,0,0,3,0,5,3,4,0,1,0,7,10,0,0,1,1,1,84
8200,Clayton Oliver,12410,ME,BL,22,8,3,22,30,0,0,0,5,1,3,7,4,2,2,0,16,14,1,0,0,0,0,75
8201,Cameron Pedersen,11903,ME,BL,22,13,7,11,24,3,2,9,3,0,6,0,4,3,1,1,5,19,0,3,2,2,0,92
8202,Christian Petracca,12430,ME,BL,22,6,4,16,22,1,0,0,3,0,3,3,3,1,0,0,12,10,2,0,0,0,2,78
8203,Billy Stretch,12353,ME,BL,22,7,6,5,12,0,0,0,2,1,2,1,2,0,1,0,3,10,0,0,1,0,0,66
8204,Dom Tyson,12032,ME,BL,22,8,3,19,27,0,0,0,3,2,1,1,4,0,2,0,14,14,0,0,1,0,0,68
8205,Bernie Vince,4151,ME,BL,22,8,3,2,10,1,0,0,3,2,0,0,2,0,1,0,2,9,0,1,2,1,0,81
8206,Josh Wagner,12424,ME,BL,22,4,2,10,14,0,0,0,6,0,0,0,3,0,0,0,6,9,0,1,1,1,0,62
8207,Jacob Allison,12570,BL,ME,22,7,4,9,16,1,0,0,3,1,0,1,1,0,1,0,5,12,0,1,0,0,0,67
8208,Harris Andrews,12340,BL,ME,22,7,7,4,11,0,0,0,0,1,1,0,2,0,1,0,5,5,3,0,5,0,0,97
8209,Jake Barrett,12400,BL,ME,22,6,3,7,13,1,0,0,2,0,1,0,3,1,0,0,4,8,0,1,0,0,1,95
8210,Ryan Bastinac,11811,BL,ME,22,12,6,10,22,1,0,0,3,2,1,2,1,1,0,0,7,14,1,2,0,0,0,85
8211,Claye Beams,11893,BL,ME,22,6,4,8,14,0,0,0,4,0,3,3,1,0,0,0,6,8,0,0,1,0,0,61
8212,Dayne Beams,11728,BL,ME,22,16,7,17,33,3,1,0,4,3,6,5,5,3,1,2,16,18,1,4,3,0,0,78
8213,Michael Close,12251,BL,ME,22,6,4,2,8,1,0,0,2,0,1,0,1,0,0,0,2,6,1,0,5,0,0,77
8214,Darcy Gardiner,12267,BL,ME,22,10,8,4,14,1,0,0,4,5,0,1,1,0,0,0,5,11,2,1,8,0,0,91
8215,Eric Hipwood,12454,BL,ME,22,5,5,5,10,1,0,0,0,0,2,0,2,0,1,0,2,9,2,1,1,0,3,82
8216,Ryan Lester,11894,BL,ME,22,9,5,9,18,0,0,0,4,2,1,2,2,0,1,0,5,15,0,0,2,0,0,82
8217,Stefan Martin,11684,BL,ME,22,6,5,9,15,0,0,27,1,0,2,4,3,0,0,0,8,5,1,1,1,0,1,84
8218,Rhys Mathieson,12443,BL,ME,22,6,1,13,19,0,0,1,3,1,3,7,2,5,1,0,12,7,0,0,2,0,0,76
8219,Sam Mayes,12162,BL,ME,22,14,6,5,19,0,0,0,0,5,1,0,3,1,1,0,3,15,0,0,4,0,0,84
8220,Hugh McCluggage,12518,BL,ME,22,8,5,9,17,1,0,0,4,1,2,4,4,2,1,0,5,12,0,0,0,0,2,73
8221,Daniel McStay,12291,BL,ME,22,6,5,7,13,0,0,0,2,1,1,0,3,0,2,0,5,8,2,0,6,0,1,88
8222,Daniel Rich,11725,BL,ME,22,16,2,9,25,0,1,0,0,3,3,1,3,0,0,0,11,13,0,0,1,0,0,80
8223,Nick Robertson,12264,BL,ME,22,7,3,9,16,0,0,0,6,2,1,0,3,0,1,0,3,13,0,0,3,0,0,90
8224,Tom Rockliff,11787,BL,ME,22,9,6,7,16,2,0,0,3,0,3,0,1,0,1,0,5,11,2,2,0,0,2,85
8225,Lewis Taylor,12252,BL,ME,22,16,3,6,22,0,1,0,2,2,5,0,0,0,0,0,2,22,0,0,1,1,0,81
8226,Josh Walker,12109,BL,ME,22,9,8,5,14,1,1,6,1,0,1,0,1,0,1,0,7,7,5,1,2,0,0,91
8227,Alex Witherden,12546,BL,ME,22,13,6,5,18,0,0,0,5,3,1,0,3,0,2,0,2,13,0,0,0,0,1,70
