,Player,ID,Team,Opponent,Round,Kicks,Marks,Hand.Balls,Disp,Goals,Behinds,Hit.Outs,Tackles,Rebounds,Inside.50,Clearances,Clangers,Frees.For,Frees.Against,Brownlow,Uncontested.Possessions,Contested.Possessions,Contested.Marks,Marks.Inside.50,One.Percenters,Bounces,Goal.Assists,X..Time.Played
1067,Jack Lonie,12324,SK,BL,3,9,6,2,11,0,1,0,4,1,1,1,0,0,0,0,5,8,1,2,1,0,0,86
1068,Paddy McCartin,12339,SK,BL,3,5,2,0,5,0,1,0,1,0,4,0,1,1,0,0,3,3,1,0,1,0,0,58
1069,Tim Membrey,12300,SK,BL,3,11,10,4,15,1,3,0,0,1,2,0,1,0,1,0,7,9,5,4,2,0,1,77
1070,Leigh Montagna,1137,SK,BL,3,24,9,6,30,1,0,0,4,6,7,3,3,2,0,2,10,19,0,1,1,1,1,90
1071,Jack Newnes,12050,SK,BL,3,15,6,8,23,0,2,0,1,5,2,2,3,0,1,0,6,18,0,1,3,0,0,91
1072,Nick Riewoldt,981,SK,BL,3,20,12,8,28,3,2,1,1,0,5,2,0,0,0,3,8,20,3,4,3,0,1,92
1073,Dylan Roberton,11839,SK,BL,3,18,6,2,20,0,0,0,4,4,6,1,3,1,1,0,4,13,0,0,2,1,0,89
1074,Sebastian Ross,12132,SK,BL,3,10,1,13,23,0,0,0,9,3,1,4,2,1,0,0,14,10,0,0,1,0,1,82
1075,Shane Savage,11793,SK,BL,3,6,2,6,12,1,0,0,4,0,3,0,1,1,0,0,3,11,1,0,3,0,0,84
1076,Jack Steele,12368,SK,BL,3,7,4,11,18,1,0,0,9,1,4,2,3,1,2,0,8,11,0,0,4,0,0,73
1077,Jimmy Webster,12188,SK,BL,3,12,6,9,21,0,0,0,1,4,3,0,2,0,2,0,2,16,0,0,3,0,0,90
1078,Maverick Weller,11922,SK,BL,3,8,6,7,15,2,3,0,1,1,2,2,3,4,2,0,8,9,2,3,0,0,0,86
1079,Harris Andrews,12340,BL,SK,3,8,4,4,12,0,0,0,0,2,0,0,1,0,0,0,4,8,2,0,10,0,0,93
1080,Jake Barrett,12400,BL,SK,3,5,5,11,16,0,1,0,10,1,2,1,2,1,1,0,6,9,0,2,0,0,1,82
1081,Dayne Beams,11728,BL,SK,3,17,5,13,30,1,1,0,8,1,5,4,8,2,3,0,13,18,0,0,1,0,2,83
1082,Tom Bell,12115,BL,SK,3,8,3,7,15,1,1,0,4,3,2,0,3,1,0,0,7,6,0,0,0,0,0,75
1083,Jarrod Berry,12519,BL,SK,3,3,2,5,8,1,0,0,2,0,0,0,1,0,1,0,2,6,0,1,2,0,0,73
1084,Rohan Bewick,11895,BL,SK,3,9,5,5,14,1,0,0,5,1,1,0,2,1,0,0,5,10,1,0,2,0,1,81
1085,Tom Cutler,12265,BL,SK,3,16,4,9,25,0,0,0,0,8,4,1,3,0,1,0,5,16,0,0,3,0,0,95
1086,Jack Frost,12145,BL,SK,3,0,0,4,4,0,0,0,1,0,0,0,1,0,1,0,2,2,0,0,3,0,0,76
1087,Darcy Gardiner,12267,BL,SK,3,2,2,3,5,0,0,0,1,1,0,0,2,0,1,0,1,4,0,0,3,0,1,30
1088,Eric Hipwood,12454,BL,SK,3,1,0,1,2,0,0,1,1,0,0,0,2,0,0,0,2,0,0,0,1,0,0,85
1089,Ryan Lester,11894,BL,SK,3,6,6,6,12,0,0,0,4,2,0,1,1,0,0,0,5,7,2,0,1,0,1,87
1090,Stefan Martin,11684,BL,SK,3,11,7,10,21,0,0,44,1,1,5,6,1,4,0,0,14,7,1,0,4,0,1,96
1091,Sam Mayes,12162,BL,SK,3,11,7,12,23,0,0,0,1,6,1,0,2,0,1,0,5,17,1,0,3,1,0,85
1092,Hugh McCluggage,12518,BL,SK,3,9,4,4,13,0,1,0,2,0,2,1,1,0,0,0,3,10,0,0,0,0,0,85
1093,Daniel McStay,12291,BL,SK,3,2,5,8,10,0,0,0,4,1,0,0,2,0,2,0,3,7,1,0,3,0,0,79
1094,Daniel Rich,11725,BL,SK,3,21,4,11,32,1,2,0,1,8,9,1,3,4,2,1,8,22,0,0,0,0,1,88
1095,Nick Robertson,12264,BL,SK,3,8,8,10,18,0,0,0,1,1,3,0,1,0,1,0,5,13,0,0,2,0,0,83
1096,Mitch Robinson,11710,BL,SK,3,7,3,8,15,2,0,0,5,1,3,3,1,1,0,0,9,5,2,1,0,0,0,83
1097,Tom Rockliff,11787,BL,SK,3,16,5,12,28,0,0,1,6,0,6,13,5,3,3,0,15,13,0,0,1,0,0,87
1098,Josh Schache,12416,BL,SK,3,3,2,6,9,2,0,1,2,0,0,0,5,2,2,0,5,4,0,1,1,0,0,81
1099,Lewis Taylor,12252,BL,SK,3,8,4,11,19,1,0,0,4,0,1,1,1,1,0,0,4,15,0,1,1,0,1,87
1100,Dayne Zorko,12076,BL,SK,3,15,2,11,26,1,2,0,9,1,2,7,3,3,1,0,10,15,0,0,0,0,1,87
1101,Levi Casboult,12114,CA,ES,3,3,2,2,5,0,0,11,3,0,4,1,0,1,0,0,5,1,1,0,7,0,0,88
1102,Patrick Cripps,12261,CA,ES,3,14,5,10,24,1,0,0,4,1,3,4,3,2,2,0,12,12,0,0,4,0,0,82
1103,Ed Curnow,11883,CA,ES,3,12,2,12,24,1,2,0,7,0,2,7,4,1,1,0,17,7,0,0,1,0,0,89
1104,Sam Docherty,12170,CA,ES,3,20,9,0,20,0,0,0,2,4,1,0,2,1,0,0,4,17,0,0,6,0,0,95
1105,Bryce Gibbs,11535,CA,ES,3,21,3,14,35,0,2,0,9,1,6,8,7,1,1,3,20,12,0,0,1,0,1,79
1106,Sam Kerridge,12052,CA,ES,3,5,1,3,8,1,0,0,2,0,2,1,4,1,0,0,2,5,0,1,1,0,0,81
1107,Matthew Kreuzer,11645,CA,ES,3,14,1,0,14,1,0,30,11,1,4,8,0,2,0,0,11,3,0,1,6,0,0,84
1108,Harrison Macreadie,12488,CA,ES,3,2,1,3,5,0,0,0,6,1,1,0,1,0,1,0,4,2,0,0,4,0,0,81
1109,Caleb Marchbank,12369,CA,ES,3,9,5,1,10,0,0,0,7,3,0,1,3,1,2,0,2,8,0,0,1,0,0,78
1110,Marc Murphy,4148,CA,ES,3,23,2,9,32,2,0,0,10,1,5,6,2,0,0,2,9,20,0,0,4,0,0,88
1111,Rhys Palmer,11641,CA,ES,3,6,4,6,12,0,0,0,2,0,3,0,6,1,3,0,5,7,0,0,0,0,0,69
1112,Sam Petrevski-Seton,12487,CA,ES,3,12,3,5,17,1,0,0,8,1,1,0,1,0,0,0,12,4,1,1,0,0,1,71
1113,Jarrod Pickett,12489,CA,ES,3,7,2,4,11,0,2,0,3,0,2,1,5,0,2,0,7,3,0,1,2,0,0,65
1114,Lachie Plowman,12142,CA,ES,3,12,6,6,18,0,0,0,4,3,2,0,0,2,0,0,8,10,2,0,6,0,0,87
1115,Sam Rowe,12157,CA,ES,3,12,4,3,15,0,0,0,3,2,1,0,1,1,0,1,7,6,2,0,11,0,0,100
1116,Jack Silvagni,12458,CA,ES,3,10,4,1,11,0,2,0,8,1,2,1,2,2,0,0,7,3,1,0,4,0,0,81
1117,Kade Simpson,1456,CA,ES,3,17,3,4,21,0,0,0,6,5,4,4,4,1,1,0,6,12,0,0,2,0,0,90
1118,Dale Thomas,4152,CA,ES,3,13,6,3,16,0,0,0,3,0,3,0,5,0,1,0,0,12,0,0,2,1,0,79
1119,Jacob Weitering,12402,CA,ES,3,8,4,2,10,0,1,0,3,0,5,1,1,1,0,0,6,3,2,1,1,0,0,70
1120,Simon White,11826,CA,ES,3,15,8,2,17,0,0,0,1,3,4,1,3,1,0,0,4,11,0,0,4,0,1,84
1121,Tom Williamson,12517,CA,ES,3,9,2,6,15,0,1,0,5,2,3,1,0,1,0,0,6,11,0,0,1,0,0,76
1122,Matthew Wright,11929,CA,ES,3,5,1,6,11,0,0,0,3,2,1,1,1,1,0,0,7,5,0,0,1,0,0,84
1123,Patrick Ambrose,12239,ES,CA,3,5,2,8,13,0,0,0,3,1,2,0,0,1,0,0,7,7,1,0,8,0,0,90
1124,Mark Baguley,12107,ES,CA,3,5,3,3,8,0,0,0,7,4,0,0,5,1,4,0,1,7,0,0,2,0,0,91
1125,Mitch Brown,11987,ES,CA,3,12,5,0,12,0,0,0,3,4,3,0,0,0,0,0,3,8,0,0,5,0,0,82
1126,Travis Colyer,11821,ES,CA,3,12,0,4,16,0,0,0,6,2,0,3,5,0,0,0,5,7,0,0,3,0,0,76
1127,Joe Daniher,12199,ES,CA,3,5,3,7,12,1,1,6,0,1,1,0,4,0,2,0,6,6,1,2,1,0,0,92
1128,Orazio Fantasia,12302,ES,CA,3,7,0,2,9,0,2,0,3,0,3,1,3,1,2,0,7,1,0,0,0,0,0,84
1129,Martin Gleeson,12240,ES,CA,3,10,2,4,14,0,0,0,6,3,2,0,3,1,0,0,6,5,0,0,3,0,0,88
1130,Brendon Goddard,1443,ES,CA,3,18,4,12,30,1,0,0,8,5,3,6,5,1,1,0,13,16,0,1,3,0,0,76
1131,Dyson Heppell,11896,ES,CA,3,19,5,11,30,0,1,0,8,3,6,4,7,0,4,0,9,19,1,0,1,0,0,81
1132,Heath Hocking,11616,ES,CA,3,7,1,3,10,0,0,0,3,0,1,3,0,1,0,0,7,3,0,0,2,0,0,66
1133,Cale Hooker,11702,ES,CA,3,4,2,6,10,1,0,0,1,0,1,0,2,2,1,0,6,6,1,0,5,0,0,90
1134,Michael Hurley,11715,ES,CA,3,13,3,6,19,0,0,0,1,10,0,0,2,0,0,0,4,9,0,0,4,0,0,89
1135,James Kelly,1141,ES,CA,3,18,3,2,20,0,0,0,4,5,2,1,4,0,1,0,8,10,0,0,2,0,1,80
1136,Kyle Langford,12349,ES,CA,3,2,1,4,6,1,0,0,2,0,0,0,1,0,0,0,5,1,1,1,2,0,0,73
1137,Matthew Leuenberger,11593,ES,CA,3,7,2,6,13,0,0,46,6,1,1,3,7,2,1,0,11,3,1,0,7,0,0,82
1138,Anthony McDonald-Tipungwuti,12407,ES,CA,3,3,0,5,8,1,1,0,3,1,1,2,2,1,1,0,10,1,0,0,2,0,0,75
1139,Andrew McGrath,12491,ES,CA,3,6,1,6,12,0,0,0,7,2,1,0,4,0,2,0,5,7,0,0,4,0,0,81
1140,Zach Merrett,12241,ES,CA,3,21,1,8,29,0,0,0,4,4,1,6,4,2,1,0,10,17,0,0,2,0,0,76
1141,Darcy Parish,12406,ES,CA,3,9,3,13,22,1,0,0,4,0,3,2,3,0,0,0,11,10,0,1,0,0,0,81
1142,Brent Stanton,3939,ES,CA,3,10,5,5,15,0,0,0,5,1,3,0,1,0,0,0,5,11,0,0,4,0,1,81
1143,Jobe Watson,1461,ES,CA,3,16,3,12,28,0,0,0,10,1,2,4,6,1,1,0,14,13,0,0,2,0,1,81
1144,David Zaharakis,11729,ES,CA,3,7,3,6,13,0,0,0,5,1,1,2,3,0,0,0,4,8,0,1,1,0,0,87
1145,Kaiden Brand,12435,HW,GC,3,11,4,6,17,0,0,0,1,3,1,0,1,1,0,0,5,8,1,0,5,0,0,95
1146,Luke Breust,11954,HW,GC,3,3,1,4,7,0,1,0,3,0,0,1,3,0,3,0,7,1,0,0,4,0,0,74
1147,Shaun Burgoyne,1126,HW,GC,3,11,8,6,17,0,1,0,4,1,4,2,0,1,0,0,6,11,0,0,4,0,0,82
1148,Ryan Burton,12477,HW,GC,3,13,4,4,17,1,0,0,5,5,0,0,1,0,1,0,3,10,1,0,1,0,0,81
1149,James Frawley,11575,HW,GC,3,9,9,3,12,0,0,0,3,2,1,0,7,0,5,0,2,10,1,0,9,0,0,99
1150,Josh Gibson,4145,HW,GC,3,10,1,10,20,0,0,0,3,3,4,0,2,2,1,0,4,16,0,0,10,0,1,98
1151,Jack Gunston,11845,HW,GC,3,13,9,2,15,0,3,0,3,0,5,0,3,0,0,0,3,13,1,3,1,0,0,92
1152,Ricky Henderson,11832,HW,GC,3,14,9,15,29,0,0,0,2,6,1,0,1,0,0,0,6,23,0,0,2,0,0,74
1153,Luke Hodge,1134,HW,GC,3,12,5,8,20,0,0,0,3,2,2,1,2,1,0,0,6,13,0,0,1,0,0,78
1154,Will Langford,12214,HW,GC,3,6,0,9,15,0,0,0,3,1,3,1,4,0,1,0,10,5,0,0,0,0,0,83
1155,Ben McEvoy,11682,HW,GC,3,2,4,7,9,0,0,28,3,0,0,0,1,1,0,0,5,5,2,0,3,0,0,76
1156,Teia Miles,12507,HW,GC,3,5,3,2,7,0,0,0,1,0,0,0,2,0,1,0,1,7,0,0,0,0,0,77
1157,Tom Mitchell,12196,HW,GC,3,11,6,16,27,0,1,0,8,1,4,4,3,2,1,0,10,19,0,0,0,0,1,86
1158,Jaeger OMeara,12141,HW,GC,3,7,3,7,14,1,0,0,3,0,1,2,2,0,0,0,5,8,0,1,0,0,0,81
1159,Paul Puopolo,11942,HW,GC,3,3,1,6,9,1,0,0,1,0,0,1,1,0,0,0,5,3,0,1,2,0,0,66
1160,Cyril Rioli,11632,HW,GC,3,5,4,8,13,1,1,0,3,0,1,1,0,1,0,0,3,10,0,0,1,0,0,86
1161,Jarryd Roughead,4078,HW,GC,3,10,5,4,14,3,0,2,3,1,1,0,2,2,1,0,8,7,1,3,2,1,1,85
1162,Liam Shiels,11760,HW,GC,3,9,3,12,21,0,0,0,7,2,2,6,3,2,0,0,9,10,0,0,1,0,0,77
1163,Isaac Smith,11941,HW,GC,3,16,4,5,21,0,1,0,7,1,5,5,5,0,2,0,6,15,0,0,0,0,0,87
1164,Ben Stratton,11824,HW,GC,3,9,3,9,18,0,0,0,0,6,0,1,4,0,1,0,6,11,0,1,6,0,0,94
1165,Ty Vickery,11767,HW,GC,3,3,0,6,9,0,1,9,4,1,0,1,2,0,1,0,5,5,0,0,1,0,0,62
1166,Brendan Whitecross,11719,HW,GC,3,8,3,4,12,0,1,0,4,2,1,0,1,1,1,0,3,9,0,0,1,0,0,68
1167,Gary Ablett,1105,GC,HW,3,27,3,9,36,2,1,0,4,2,8,10,2,1,0,3,14,21,0,1,1,1,0,86
1168,Michael Barlow,11809,GC,HW,3,14,4,20,34,0,1,0,1,3,7,2,2,1,1,0,14,20,1,1,2,0,1,91
1169,Jack Bowes,12499,GC,HW,3,8,4,3,11,0,0,0,4,1,2,0,0,1,0,0,3,8,0,0,2,0,1,69
1170,Brayden Fiorini,12481,GC,HW,3,8,3,10,18,2,0,0,3,0,1,1,1,0,0,0,7,12,0,1,0,1,1,64
1171,Aaron Hall,12041,GC,HW,3,20,6,9,29,2,1,0,3,2,7,2,4,1,0,2,5,24,0,0,0,0,0,79
1172,Jarrod Harbrow,11555,GC,HW,3,12,7,14,26,1,0,0,4,3,3,2,0,0,0,0,6,19,0,0,4,0,0,84
1173,Jesse Joyce,12449,GC,HW,3,9,2,10,19,0,1,0,2,1,1,2,0,1,0,0,8,11,0,0,6,0,0,81
1174,Kade Kolodjashnij,12256,GC,HW,3,11,7,15,26,0,0,0,1,1,1,2,1,1,1,0,6,21,0,0,5,0,0,92
1175,Sean Lemmens,12234,GC,HW,3,5,2,6,11,1,0,0,2,0,1,0,4,1,1,0,6,7,0,0,3,2,0,69
1176,Tom Lynch,11948,GC,HW,3,11,7,7,18,2,3,0,2,1,4,0,2,5,1,0,10,8,3,2,2,1,1,98
1177,Jarryd Lyons,12067,GC,HW,3,10,2,20,30,0,0,0,4,2,2,10,6,0,2,0,18,11,0,0,0,0,0,71
1178,Jack Martin,12236,GC,HW,3,12,5,11,23,3,0,0,5,2,4,1,2,1,1,0,8,14,0,0,1,1,3,79
1179,Brandon Matera,11915,GC,HW,3,12,4,7,19,6,0,0,2,1,2,2,1,1,0,1,7,11,0,1,0,0,0,76
1180,Steven May,11940,GC,HW,3,15,8,8,23,0,0,0,2,1,0,0,4,1,1,0,7,15,1,0,5,1,0,90
1181,Touk Miller,12331,GC,HW,3,7,5,21,28,2,0,0,4,1,2,2,2,1,0,0,12,17,0,2,2,0,0,83
1182,Matt Rosa,4133,GC,HW,3,12,4,13,25,0,0,0,1,0,4,3,3,1,2,0,7,16,0,0,1,0,0,83
1183,Adam Saad,12330,GC,HW,3,13,4,10,23,0,0,0,2,2,2,0,3,0,0,0,7,18,0,0,4,4,0,81
1184,Alex Sexton,12080,GC,HW,3,16,7,9,25,0,1,0,0,1,7,1,3,0,2,0,4,19,0,0,3,0,4,82
1185,David Swallow,11919,GC,HW,3,15,4,19,34,0,1,0,6,1,1,9,2,0,0,0,17,17,0,0,1,0,0,70
1186,Rory Thompson,11992,GC,HW,3,7,4,5,12,0,0,0,2,3,2,0,1,1,1,0,5,7,0,0,8,0,0,95
1187,Jarrod Witts,12177,GC,HW,3,5,1,8,13,0,0,40,2,1,1,2,3,0,1,0,3,9,1,0,4,0,0,86
1188,Peter Wright,12366,GC,HW,3,7,5,8,15,0,1,8,1,0,2,0,1,1,0,0,6,8,0,1,3,0,0,89
1189,Aliir Aliir,12433,SY,WC,4,4,3,5,9,0,0,0,2,2,0,0,4,0,2,0,4,8,0,0,12,0,0,93
1190,Harry Cunningham,12015,SY,WC,4,5,3,9,14,1,0,0,7,1,2,1,1,1,0,0,7,7,1,1,3,0,0,82
1191,Oliver Florent,12497,SY,WC,4,7,1,1,8,1,0,0,2,0,2,2,3,2,2,0,5,3,0,0,0,0,0,64
1192,Jordan Foote,12465,SY,WC,4,3,0,6,9,1,0,0,4,0,2,1,0,2,0,0,5,4,0,0,0,0,0,89
1193,Robbie Fox,12510,SY,WC,4,5,0,6,11,0,0,0,5,1,2,1,1,0,0,0,6,4,0,0,2,1,2,76
1194,Lance Franklin,4065,SY,WC,4,9,7,6,15,2,0,2,3,0,2,0,2,1,2,0,3,12,1,1,2,0,0,93
1195,Heath Grundy,1401,SY,WC,4,11,8,7,18,0,0,0,4,1,0,0,4,1,2,0,5,12,1,0,4,0,0,100
1196,Dan Hannebery,11783,SY,WC,4,8,1,15,23,0,1,0,6,1,1,5,1,0,1,0,14,9,0,0,0,0,1,77
1197,Will Hayward,12509,SY,WC,4,10,4,1,11,2,1,0,1,0,1,1,3,1,1,0,4,7,0,4,1,0,1,76
1198,George Hewett,12411,SY,WC,4,11,4,9,20,0,0,0,6,0,1,6,4,2,1,0,11,9,0,0,0,0,0,71
1199,Kieren Jack,11546,SY,WC,4,9,2,5,14,0,0,0,4,2,3,0,3,0,0,0,3,11,0,0,0,0,1,66
1200,Zak Jones,12288,SY,WC,4,12,4,7,19,0,0,0,4,5,1,1,6,0,1,0,4,12,0,0,2,4,0,91
1201,Josh Kennedy,11672,SY,WC,4,14,3,19,33,0,0,0,5,2,4,9,4,1,1,2,19,13,0,0,1,0,0,87
1202,Jake Lloyd,12268,SY,WC,4,22,6,7,29,1,0,0,2,6,5,1,4,1,1,0,6,22,0,0,1,0,0,86
1203,Harrison Marsh,12445,SY,WC,4,10,2,9,19,0,0,0,0,1,3,0,1,0,0,0,7,12,0,0,3,0,1,87
1204,Callum Mills,12413,SY,WC,4,10,3,4,14,0,0,0,1,2,2,2,2,1,0,0,6,6,1,0,2,0,0,83
1205,Nic Newman,12508,SY,WC,4,13,4,6,19,0,0,0,2,5,1,3,0,0,0,0,9,9,0,0,3,0,0,71
1206,Tom Papley,12412,SY,WC,4,4,2,2,6,1,1,0,1,0,2,0,3,1,2,0,2,5,1,1,1,0,0,55
1207,Luke Parker,11953,SY,WC,4,12,4,15,27,0,0,0,4,4,2,4,6,1,3,0,14,15,0,0,2,0,1,84
1208,Sam Reid,11880,SY,WC,4,8,6,8,16,1,0,7,2,0,1,0,1,0,0,0,8,9,2,1,5,0,1,89
1209,Callum Sinclair,12158,SY,WC,4,9,1,4,13,0,0,24,4,1,3,5,6,1,3,0,9,4,0,0,1,0,0,83
1210,Nick Smith,11653,SY,WC,4,7,4,7,14,0,0,0,3,4,1,1,4,0,1,0,6,8,0,0,3,0,0,96
1211,Tom Barrass,12383,WC,SY,4,13,7,4,17,0,0,0,0,2,2,0,1,1,1,0,3,14,0,0,5,0,0,90
1212,Sam Butler,3983,WC,SY,4,12,4,9,21,0,0,0,1,6,1,0,1,0,0,0,6,15,0,0,5,0,0,83
1213,Jamie Cripps,11937,WC,SY,4,10,4,6,16,3,0,0,7,1,2,3,2,1,1,1,6,11,0,0,1,0,0,78
1214,Liam Duggan,12334,WC,SY,4,8,3,6,14,0,0,0,3,0,4,1,3,0,0,0,4,11,0,0,2,0,2,79
1215,Andrew Gaff,11904,WC,SY,4,22,3,6,28,2,1,0,0,2,4,1,7,0,1,0,6,21,0,0,1,1,0,87
1216,Jonathan Giles,12019,WC,SY,4,1,1,6,7,0,0,36,4,1,0,2,1,0,1,0,6,1,0,0,1,0,0,61
1217,Josh Hill,11602,WC,SY,4,6,0,5,11,1,4,0,3,0,3,0,0,1,0,0,4,6,0,0,2,0,0,79
1218,Shannon Hurn,4162,WC,SY,4,12,8,7,19,0,0,0,2,3,1,0,1,0,0,0,6,13,1,0,4,0,0,85
1219,Josh Kennedy,4169,WC,SY,4,10,6,5,15,2,3,0,2,0,6,0,0,2,0,0,8,8,3,1,1,0,2,100
1220,Mark LeCras,4114,WC,SY,4,9,3,2,11,2,1,0,4,0,3,1,5,0,1,0,3,6,1,1,0,0,0,96
1221,Chris Masten,11638,WC,SY,4,11,5,9,20,0,0,0,3,1,2,2,1,2,0,0,10,10,0,0,1,0,2,83
1222,Jeremy McGovern,12273,WC,SY,4,14,8,5,19,2,1,0,2,1,1,0,4,1,1,0,10,12,3,3,7,0,2,89
1223,Sam Mitchell,1135,WC,SY,4,9,1,8,17,0,0,0,7,1,1,2,0,1,0,0,7,9,0,0,2,0,1,68
1224,Jackson Nelson,12328,WC,SY,4,9,4,5,14,0,0,0,1,0,0,0,2,0,1,0,5,8,1,0,0,1,0,74
1225,Matt Priddis,4186,WC,SY,4,9,5,20,29,0,0,0,7,2,5,7,3,1,2,0,16,16,0,0,1,0,0,90
1226,Jack Redden,11780,WC,SY,4,8,2,12,20,0,0,0,5,2,2,6,3,3,0,0,14,7,0,0,3,0,0,69
1227,Will Schofield,11605,WC,SY,4,4,4,6,10,0,0,0,0,0,1,0,2,0,2,0,3,8,0,0,9,0,0,92
1228,Brad Sheppard,11843,WC,SY,4,10,4,10,20,0,0,0,5,1,3,0,2,1,1,0,5,15,1,0,3,0,0,81
1229,Luke Shuey,11805,WC,SY,4,16,8,14,30,1,1,0,7,1,4,6,4,3,2,3,12,19,0,1,2,1,0,83
1230,Nathan Vardy,11955,WC,SY,4,8,2,2,10,0,0,22,3,1,3,0,4,2,1,0,3,7,0,0,3,0,0,65
1231,Sharrod Wellingham,11654,WC,SY,4,12,5,7,19,0,1,0,6,0,4,2,4,1,1,0,5,12,0,1,2,0,0,77
1232,Elliot Yeo,12087,WC,SY,4,18,11,11,29,0,0,0,1,5,2,1,1,3,0,0,11,17,1,0,3,0,0,92
1233,Shaun Atley,11902,NM,WB,4,7,3,8,15,0,0,0,2,3,2,0,1,1,0,0,6,10,0,0,1,1,1,88
1234,Ben Brown,12289,NM,WB,4,8,8,6,14,4,1,0,1,0,0,0,1,1,0,0,8,6,2,5,0,0,0,83
1235,Ben Cunnington,11835,NM,WB,4,10,6,23,33,0,0,0,4,4,2,10,1,1,0,2,20,13,0,1,1,0,0,71
1236,Trent Dumont,12343,NM,WB,4,12,2,8,20,0,0,0,4,3,5,1,2,1,0,0,7,12,0,0,1,0,1,83
1237,Taylor Garner,12220,NM,WB,4,11,7,10,21,1,1,0,2,2,1,0,5,0,2,0,9,11,2,3,0,0,0,77
1238,Sam Gibson,12093,NM,WB,4,11,3,9,20,0,1,0,5,0,1,1,0,0,0,0,5,15,1,0,0,0,1,91
1239,Todd Goldstein,11686,NM,WB,4,8,7,13,21,1,0,29,1,1,2,2,2,2,0,0,7,14,0,0,2,0,0,86
1240,Lachlan Hansen,11542,NM,WB,4,6,6,3,9,0,0,0,0,1,1,0,1,0,1,0,2,7,1,0,7,0,0,82
1241,Shaun Higgins,4180,NM,WB,4,8,2,11,19,1,3,0,6,2,2,3,1,1,0,0,7,11,0,2,0,0,1,82
1242,Nathan Hrovat,12190,NM,WB,4,12,1,12,24,0,0,0,2,1,1,5,1,2,0,0,9,15,0,0,0,0,0,73
1243,Jamie Macmillan,11862,NM,WB,4,11,3,12,23,0,1,0,0,6,2,0,4,1,1,0,7,17,1,0,2,0,0,91
1244,Luke McDonald,12246,NM,WB,4,9,2,8,17,0,0,0,6,4,1,1,1,1,0,0,3,14,0,0,1,0,0,77
1245,Aaron Mullett,12008,NM,WB,4,10,4,14,24,0,0,0,0,7,2,1,0,0,0,0,4,13,0,0,1,2,0,85
1246,Braydon Preuss,12500,NM,WB,4,5,4,6,11,0,1,17,2,1,2,2,3,1,3,0,5,6,1,1,2,0,0,79
1247,Jy Simpkin,12502,NM,WB,4,7,4,6,13,2,0,0,3,0,2,1,1,1,0,0,2,8,0,0,0,0,0,74
1248,Andrew Swallow,4176,NM,WB,4,9,1,9,18,0,0,0,11,3,5,3,1,2,1,0,8,12,0,0,0,0,1,73
1249,Robbie Tarrant,11859,NM,WB,4,8,5,6,14,0,0,0,10,6,1,0,3,2,3,0,5,10,0,0,6,0,0,94
1250,Lindsay Thomas,11540,NM,WB,4,9,4,7,16,0,3,0,4,0,5,2,5,1,2,0,6,10,0,1,0,0,1,73
1251,Scott Thompson,11636,NM,WB,4,5,4,6,11,0,0,0,5,0,1,0,5,1,2,0,5,6,2,0,6,0,0,87
1252,Kayne Turner,12304,NM,WB,4,5,4,5,10,2,0,0,3,0,3,0,2,1,0,0,3,7,0,0,1,0,0,82
1253,Marley Williams,12084,NM,WB,4,5,1,10,15,0,0,0,3,1,1,1,1,1,1,0,4,10,0,0,8,0,0,90
1254,Jack Ziebell,11724,NM,WB,4,17,5,10,27,1,0,0,1,1,3,8,6,0,0,0,17,11,0,1,1,0,1,78
1255,Marcus Adams,12409,WB,NM,4,9,7,8,17,0,0,0,5,3,2,0,1,1,0,0,5,12,0,0,4,0,0,92
1256,Marcus Bontempelli,12269,WB,NM,4,15,3,10,25,1,1,0,6,2,8,4,2,2,0,1,13,14,2,0,1,0,0,87
1257,Matthew Boyd,1450,WB,NM,4,11,9,7,18,0,0,0,0,5,3,0,3,0,1,0,3,13,0,0,3,0,0,84
1258,Tom Boyd,12270,WB,NM,4,1,1,0,1,0,0,2,1,0,0,0,2,0,1,0,0,1,0,0,0,0,0,17
1259,Tom Campbell,12097,WB,NM,4,3,0,5,8,0,0,37,6,0,2,3,3,1,3,0,3,5,0,0,1,0,0,85
1260,Travis Cloke,4086,WB,NM,4,9,4,2,11,1,2,0,2,0,4,1,2,4,1,0,7,5,1,0,1,0,2,78
1261,Zaine Cordy,12392,WB,NM,4,5,1,3,8,0,0,0,3,1,2,1,0,0,0,0,3,5,0,0,2,0,1,88
1262,Luke Dahlhaus,11974,WB,NM,4,8,4,24,32,2,0,0,6,3,1,4,5,0,3,3,15,17,0,0,0,0,0,78
1263,Josh Dunkley,12408,WB,NM,4,7,6,5,12,1,2,0,3,0,3,1,0,1,0,0,3,9,0,2,1,0,0,78
1264,Lachie Hunter,12203,WB,NM,4,13,3,6,19,0,1,0,2,1,1,0,1,0,0,0,4,14,0,1,2,0,0,92
1265,Jason Johannisen,12122,WB,NM,4,9,5,10,19,0,0,0,4,4,0,0,0,1,0,0,5,13,1,0,1,2,0,80
1266,Lin Jong,12125,WB,NM,4,6,1,18,24,0,1,0,1,0,4,3,0,1,0,0,6,18,0,0,0,0,1,86
1267,Tom Liberatore,11898,WB,NM,4,4,2,10,14,1,0,0,9,1,1,4,2,1,2,0,9,6,1,1,0,0,1,82
